Year	% Agriculture	% Allied Activities	% Mining & Quarrying	% Primary
1993-94	5.90	7.31	5.78	18.99
1994-95	5.79	6.27	6.28	18.34
1995-96	5.40	5.52	5.38	16.3
1996-97	4.97	4.47	4.08	13.52
1997-98	4.58	5.91	6.13	16.62
1998-99	4.34	3.06	4.81	12.21
1999-00	4.73	2.71	3.48	10.92
2000-01	3.98	2.49	3.25	9.72
2001-02	3.96	2.34	3.01	9.31
2002-03	3.59	1.76	3.11	8.47
2003-04	5.34	3.28	4.35	12.97
2004-05	5.01	2.76	4.31	12.08
2005-06	6.19	2.98	4.07	13.25
2006-07	4.07	2.59	5.25	11.91
2007-08	4.25	2.29	4.03	10.58
2008-09	3.52	2.02	4.13	9.66
2009-10	3.00	1.73	4.05	8.78
2010-11	2.75	1.62	1.59	5.96
2011-12	2.34	1.31	1.62	5.27
2012-13	2.10	1.14	0.36	3.6
2013-14	2.05	1.45	1.10	4.6
