Year	% Manufacturing	% Electricity, Gas & Water supply	% Construction	% Secondary
1993-94	33.16	1.08	6.23	40.47
1994-95	27.90	1.17	7.45	36.52
1995-96	28.44	1.10	6.23	35.77
1996-97	30.15	0.98	6.91	38.05
1997-98	27.60	0.99	7.06	35.65
1998-99	34.03	1.22	7.36	42.6
1999-00	37.30	1.20	7.19	45.69
2000-01	37.58	1.20	9.23	48.01
2001-02	38.06	1.53	9.94	49.53
2002-03	38.08	1.68	9.20	48.96
2003-04	27.78	0.97	12.68	41.43
2004-05	28.57	1.24	11.54	41.35
2005-06	28.60	1.31	10.98	40.88
2006-07	29.31	1.49	10.98	41.78
2007-08	29.02	1.34	11.14	41.51
2008-09	27.89	1.13	10.90	39.92
2009-10	25.94	0.99	10.30	37.23
2010-11	25.49	1.54	11.39	38.42
2011-12	20.87	0.16	10.25	31.28
2012-13	19.10	0.07	10.76	29.93
2013-14	17.04	0.02	11.08	28.14
