Year	% Primary	% Secondary	% Tertiary
1993-94	18.99	40.47	40.55
1994-95	18.34	36.52	45.15
1995-96	16.3	35.77	47.93
1996-97	13.52	38.05	48.44
1997-98	16.62	35.65	47.73
1998-99	12.21	42.6	45.19
1999-00	10.92	45.69	43.39
2000-01	9.72	48.01	42.27
2001-02	9.31	49.53	41.16
2002-03	8.47	48.96	42.57
2003-04	12.97	41.43	45.6
2004-05	12.08	41.35	46.57
2005-06	13.25	40.88	45.86
2006-07	11.91	41.78	46.31
2007-08	10.58	41.51	47.91
2008-09	9.66	39.92	50.42
2009-10	8.78	37.23	53.99
2010-11	5.96	38.42	55.62
2011-12	5.27	31.28	63.45
2012-13	3.6	29.93	66.47
2013-14	4.6	28.14	67.25
